816,mianyang,绵阳,四川
817,nanchong,南充,四川
818,dazhou,达州,四川
825,suining,遂宁,四川
826,guangan,广安,四川
827,bazhong,巴中,四川
830,luzhou,泸州,四川
831,yibin,宜宾,四川
832,neijiang,内江,四川
833,leshan,乐山,四川
834,liangshan,凉山,四川
835,yaan,雅安,四川
836,ganzi,甘孜,四川
837,aba,阿坝,四川
838,deyang,德阳,四川
839,guangyuan,广元,四川
851,guiyang,贵阳,贵州
852,zunyi,遵义,贵州
853,anshun,安顺,贵州
854,qiannan,黔南,贵州
855,qiandongnan,黔东南,贵州
856,tongren,铜仁,贵州
857,bijie,毕节,贵州
858,liupanshui,六盘水,贵州
859,qianxinan,黔西南,贵州
870,zhaotong,昭通,云南
871,kunming,昆明,云南
872,dali,大理,云南
873,honghe,红河,云南
874,qujing,曲靖,云南
875,baoshan,保山,云南
876,wenshan,文山,云南
877,yuxi,玉溪,云南
878,chuxiong,楚雄,云南
879,puer,普洱,云南
883,lincang,临沧,云南
886,nujiang,怒江,云南
887,diqing,迪庆,云南
888,lijiang,丽江,云南
891,lasa,拉萨,西藏
892,rikaze,日喀则,西藏
893,shannan,山南,西藏
894,linzhi,林芝,西藏
895,changdu,昌都,西藏
896,naqu,那曲,西藏
897,ali,阿里,西藏
898,haikou,海口,海南
901,tacheng,塔城,新疆
902,hami,哈密,新疆
903,hetian,和田,新疆
906,aletai,阿勒泰,新疆
909,boertala,博尔塔拉,新疆
910,xianyang,咸阳,陕西
911,yanan,延安,陕西
912,yulin,榆林,陕西
913,weinan,渭南,陕西
914,shangluo,商洛,陕西
915,ankang,安康,陕西
916,hanzhong,汉中,陕西
917,baoji,宝鸡,陕西
919,tongchuan,铜川,陕西
930,linxia,临夏,甘肃
931,lanzhou,兰州,甘肃
932,dingxi,定西,甘肃
933,pingliang,平凉,甘肃
934,qingyang,庆阳,甘肃
935,jinchang,金昌,甘肃
936,zhangye,张掖,甘肃
937,jiuquan,酒泉,甘肃
938,tianshui,天水,甘肃
941,gannan,甘南,甘肃
943,baiyin,白银,甘肃
951,yinchuan,银川,宁夏
952,shizuishan,石嘴山,宁夏
953,wuzhong,吴忠,宁夏
954,guyuan,固原,宁夏
970,haibei,海北,青海
971,xining,西宁,青海
972,haidong,海东,青海
973,huangnan,黄南,青海
975,guoluo,果洛,青海
976,yushu,玉树,青海
977,haixi,海西,青海
978,hainan,海南,青海
990,kelamayi,克拉玛依,新疆
991,wulumuqi,乌鲁木齐,新疆
993,shihezi,石河子,新疆
994,changji,昌吉,新疆
995,tulufan,吐鲁番,新疆
996,bayinguoleng,巴音郭楞,新疆
997,akesu,阿克苏,新疆
998,kashi,喀什,新疆
1001,kunshan,昆山,江苏
1003,changshu,常熟,江苏
1004,zhangjiagang,张家港,江苏
1005,taicang,太仓,江苏
1006,daxinganling,大兴安岭,黑龙江
1007,kezilesu,克孜勒苏,新疆
1008,alaer,阿拉尔,新疆
1009,wujiaqu,五家渠,新疆
1010,tumushuke,图木舒克,新疆
1011,baisha,白沙,海南
1012,sansha,三沙,海南
1013,baoting,保亭,海南
1014,changjiang,昌江,海南
1015,chengmai,澄迈,海南
1016,dingan,定安,海南
1017,ledong,乐东,海南
1018,lingao,临高,海南
1019,lingshui,陵水,海南
1020,qiongzhong,琼中,海南
1021,tunchang,屯昌,海南
2001,danyang,丹阳,江苏
9999,UNKNOWN,未知,未知
10000,all,全部,全部
32767,NA,无效,无效
